Date (J2000 seconds),Latitude (N),Longitude (W),Temperature (C),Pressure (dbar),Speed (cm/s),Bottom Depth (m)
400881600.0,22.131,-96.643,4.261,1574.5,1.304952106,-2065.0
400910400.0,22.131,-96.644,4.27,1577.5,2.856588875,-2065.0
400939200.0,22.135,-96.629,4.277,1578.2,4.501388675,-2028.0
400968000.0,22.133,-96.626,4.259,1576.6,1.154123044,-1996.0
400996800.0,22.135,-96.624,4.262,1578.2,5.229196879,-2016.0
401025600.0,22.137,-96.605,4.279,1580.8,4.127820248,-1985.0
401054400.0,22.128,-96.608,4.273,1579.8,3.804655043,-2025.0
401083200.0,22.129,-96.611,4.261,1579.6,2.831342438,-2014.0
401112000.0,22.135,-96.602,4.273,1581.2,6.309167932,-1983.0
401140800.0,22.125,-96.584,4.279,1582.3,6.402515131,-2073.0
401169600.0,22.113,-96.591,4.268,1581.2,4.179677021,-2105.0
401198400.0,22.121,-96.595,4.268,1581.2,4.968057971,-2061.0
401227200.0,22.124,-96.577,4.277,1583.1,7.479144336,-2085.0
401256000.0,22.108,-96.568,4.273,1581.9,6.373892061,-2136.0
401284800.0,22.102,-96.578,4.268,1582.1,4.857736098,-2145.0
401313600.0,22.116,-96.577,4.269,1581.5,7.088652904,-2108.0
401342400.0,22.112,-96.554,4.277,1582.8,5.704349218,-2137.0
401371200.0,22.104,-96.559,4.274,1582.5,3.889318706,-2154.0
401400000.0,22.107,-96.568,4.268,1582.2,6.087133973,-2136.0
401428800.0,22.117,-96.575,4.271,1582.6,4.195056615,-2095.0
401457600.0,22.111,-96.555,4.273,1583.4,3.204122345,-2127.0
401486400.0,22.109,-96.567,4.265,1582.8,2.880069444,-2122.0
401515200.0,22.112,-96.564,4.269,1584.3,3.751226466,-2123.0
401544000.0,22.124,-96.57,4.274,1583.0,3.491718774,-2073.0
401572800.0,22.124,-96.559,4.262,1581.8,4.222321636,-2066.0
401601600.0,22.115,-96.563,4.268,1583.0,3.610678607,-2104.0
401630400.0,22.125,-96.568,4.268,1580.2,5.369785843,-2073.0
401659200.0,22.134,-96.558,4.272,1583.0,3.172459614,-2029.0
401688000.0,22.132,-96.555,4.266,1581.7,1.617219837,-2043.0
401716800.0,22.131,-96.554,4.268,1582.5,3.050835951,-2045.0
401745600.0,22.137,-96.567,4.267,1580.9,3.934984117,-2063.0
401774400.0,22.141,-96.565,4.263,1581.3,3.806441908,-2069.0
401803200.0,22.141,-96.558,4.265,1581.9,1.909188309,-2059.0
401832000.0,22.137,-96.572,4.266,1581.7,6.538516651,-2077.0
401860800.0,22.141,-96.578,4.266,1581.5,6.625299993,-2086.0
401889600.0,22.148,-96.556,4.264,1582.0,1.312440475,-2143.0
401918400.0,22.142,-96.574,4.263,1580.9,7.638514253,-2116.0
401947200.0,22.138,-96.582,4.261,1581.9,2.93955779,-2060.0
401976000.0,22.146,-96.59,4.264,1580.6,1.647786394,-2046.0
402004800.0,22.142,-96.586,4.259,1581.7,2.861485628,-2041.0
402033600.0,22.134,-96.592,4.259,1580.6,3.823937761,-1994.0
402062400.0,22.127,-96.585,4.26,1581.3,1.088117641,-2061.0
402091200.0,22.131,-96.598,4.256,1580.5,3.061143577,-2003.0
402120000.0,22.122,-96.598,4.264,1581.3,2.227487374,-2056.0
402148800.0,22.123,-96.604,4.257,1580.9,1.133578405,-2053.0
402177600.0,22.114,-96.602,4.26,1581.1,3.910306893,-2099.0
402206400.0,22.112,-96.616,4.256,1580.2,1.796273921,-2103.0
402235200.0,22.105,-96.605,4.263,1579.4,5.683396872,-2134.0
402264000.0,22.097,-96.603,4.259,1579.7,4.615213971,-2147.0
402292800.0,22.089,-96.614,4.259,1581.4,3.114642837,-2129.0
402321600.0,22.086,-96.612,4.261,1580.7,5.298122309,-2130.0
402350400.0,22.071,-96.598,4.257,1580.6,7.223572523,-2128.0
402379200.0,22.058,-96.6,4.263,1580.7,3.911521443,-2104.0
402408000.0,22.056,-96.607,4.256,1578.6,0.297321375,-2091.0
402436800.0,22.052,-96.599,4.257,1580.0,6.01911123,-2098.0
402465600.0,22.039,-96.59,4.259,1579.4,7.067595065,-2086.0
402494400.0,22.022,-96.601,4.253,1579.7,3.330135132,-2034.0
402523200.0,22.019,-96.591,4.253,1578.7,4.080612699,-2029.0
402552000.0,22.004,-96.589,4.254,1580.1,8.814766021,-1995.0
402580800.0,21.981,-96.587,4.249,1578.9,6.721971437,-1984.0
402609600.0,21.968,-96.591,4.249,1578.7,6.440194096,-1976.0
402638400.0,21.948,-96.585,4.257,1579.3,6.091543318,-2019.0
402667200.0,21.937,-96.577,4.253,1578.4,9.326290795,-2057.0
402696000.0,21.911,-96.557,4.257,1579.3,9.458990432,-2108.0
402724800.0,21.896,-96.555,4.253,1579.4,6.081611629,-2106.0
402753600.0,21.877,-96.547,4.259,1579.6,9.216094618,-2059.0
402782400.0,21.86,-96.529,4.256,1579.2,8.007696298,-2031.0
402811200.0,21.839,-96.521,4.256,1579.2,10.36139469,-1981.0
402840000.0,21.822,-96.498,4.262,1580.1,6.426585408,-2083.0
402868800.0,21.814,-96.493,4.258,1577.6,6.08740503,-2089.0
402897600.0,21.798,-96.474,4.253,1578.5,6.665230679,-2131.0
402926400.0,21.79,-96.463,4.261,1579.7,10.12504321,-2156.0
402955200.0,21.775,-96.432,4.253,1578.1,6.003040896,-2182.0
402984000.0,21.778,-96.429,4.248,1578.4,5.19339003,-2183.0
403012800.0,21.765,-96.4,4.252,1578.4,10.13076996,-2058.0
403041600.0,21.752,-96.393,4.247,1576.6,4.109659353,-1994.0
403070400.0,21.749,-96.375,4.244,1576.9,7.830006386,-1951.0
403099200.0,21.747,-96.351,4.24,1576.7,11.12863424,-2047.0
403128000.0,21.743,-96.323,4.235,1576.3,3.605551275,-2155.0
403156800.0,21.746,-96.323,4.232,1576.3,4.887535166,-2168.0
403185600.0,21.737,-96.293,4.23,1575.9,10.91831947,-1964.0
403214400.0,21.728,-96.272,4.222,1571.6,9.857078675,-1870.0
403243200.0,21.724,-96.245,4.259,1624.8,3.092329219,-2260.0
403272000.0,21.728,-96.253,4.25,1626.3,2.857008925,-2116.0
403300800.0,21.732,-96.246,4.261,1651.7,1.840543398,-2206.0
403329600.0,21.729,-96.251,4.262,1656.5,3.57687014,-2116.0
403358400.0,21.736,-96.255,4.286,1622.4,2.121508897,-2129.0
403387200.0,21.727,-96.245,4.262,1656.4,3.820994635,-2261.0
403416000.0,21.726,-96.246,4.256,1629.6,1.536391877,-2192.0
403444800.0,21.731,-96.244,4.26,1637.5,2.8609439,-2260.0
403473600.0,21.731,-96.252,4.261,1633.7,4.016279373,-2145.0
403502400.0,21.72,-96.237,4.252,1650.0,3.041052449,-2270.0
403531200.0,21.728,-96.24,4.251,1656.3,5.791044811,-2301.0
403560000.0,21.736,-96.236,4.255,1683.3,3.256286228,-2356.0
403588800.0,21.722,-96.252,4.255,1669.7,5.581684334,-2077.0
403617600.0,21.729,-96.253,4.243,1643.3,6.065904714,-2116.0
403646400.0,21.735,-96.237,4.243,1649.2,6.222290575,-2356.0
403675200.0,21.725,-96.228,4.241,1646.8,1.540519393,-2371.0
403704000.0,21.727,-96.235,4.234,1642.3,3.48208271,-2328.0
403732800.0,21.721,-96.239,4.232,1645.1,1.534438008,-2290.0
403761600.0,21.726,-96.226,4.232,1646.9,6.600515131,-2371.0
403790400.0,21.719,-96.211,4.224,1631.8,5.209193796,-2312.0
403819200.0,21.706,-96.211,4.232,1646.4,4.731025259,-2185.0
403848000.0,21.699,-96.194,4.226,1644.2,5.97235297,-2294.0
403876800.0,21.689,-96.184,4.228,1647.3,6.50006923,-2257.0
403905600.0,21.68,-96.164,4.235,1648.0,6.723094526,-2289.0
403934400.0,21.674,-96.155,4.235,1646.9,3.160838496,-2273.0
403963200.0,21.668,-96.146,4.235,1646.6,9.370901771,-2262.0
403992000.0,21.669,-96.113,4.234,1648.1,8.418081729,-2355.0
404020800.0,21.654,-96.106,4.244,1647.9,4.720190674,-2339.0
404049600.0,21.652,-96.09,4.237,1648.2,6.870705932,-2568.0
404078400.0,21.644,-96.074,4.237,1648.6,5.546467344,-2569.0
404107200.0,21.639,-96.059,4.238,1647.6,7.863841301,-2584.0
404136000.0,21.636,-96.034,4.237,1646.7,7.859039382,-2492.0
404164800.0,21.626,-96.017,4.237,1647.3,8.520375579,-2342.0
404193600.0,21.619,-95.99,4.242,1648.4,9.936483281,-2307.0
404222400.0,21.616,-95.969,4.241,1649.0,6.426173045,-2495.0
404251200.0,21.598,-95.959,4.243,1647.8,7.732696813,-2488.0
404280000.0,21.588,-95.943,4.243,1650.8,7.229280739,-2504.0
404308800.0,21.579,-95.922,4.24,1647.4,10.04956218,-2511.0
404337600.0,21.564,-95.898,4.241,1648.3,9.54025681,-2448.0
404366400.0,21.543,-95.885,4.245,1648.9,11.02570179,-2379.0
404395200.0,21.527,-95.861,4.241,1648.1,4.723187483,-2405.0
404424000.0,21.518,-95.868,4.241,1648.0,4.406143438,-2361.0
404452800.0,21.501,-95.845,4.239,1648.2,13.10782972,-2405.0
404481600.0,21.477,-95.832,4.241,1648.7,7.522831914,-2453.0
404510400.0,21.464,-95.838,4.243,1648.4,4.704147107,-2442.0
404539200.0,21.45,-95.821,4.24,1647.4,8.194937462,-2477.0
404568000.0,21.429,-95.82,4.241,1649.5,8.032247506,-2458.0
404596800.0,21.411,-95.816,4.238,1649.0,5.96632215,-2432.0
404625600.0,21.395,-95.813,4.243,1649.2,8.276986166,-2422.0
404654400.0,21.37,-95.815,4.243,1648.4,8.986439784,-2402.0
404683200.0,21.354,-95.82,4.243,1648.2,5.055373379,-2392.0
404712000.0,21.34,-95.821,4.247,1648.4,5.990901435,-2384.0
404740800.0,21.322,-95.819,4.242,1648.6,8.170152997,-2363.0
404769600.0,21.3,-95.825,4.244,1648.0,9.310692778,-2279.0
404798400.0,21.282,-95.842,4.243,1647.6,6.976854592,-2229.0
404827200.0,21.266,-95.843,4.243,1647.7,6.919747105,-2276.0
404856000.0,21.249,-95.856,4.239,1648.0,7.576707728,-2210.0
404884800.0,21.241,-95.869,4.243,1645.9,4.649440827,-2154.0
404913600.0,21.234,-95.88,4.235,1646.1,4.624078287,-2188.0
404942400.0,21.23,-95.891,4.244,1646.5,3.710013477,-2228.0
404971200.0,21.234,-95.901,4.238,1644.7,4.933933522,-2284.0
405000000.0,21.239,-95.913,4.241,1648.7,3.645888095,-2296.0
405028800.0,21.243,-95.92,4.243,1647.0,3.243269955,-2299.0
405057600.0,21.247,-95.929,4.241,1646.8,3.279405434,-2298.0
405086400.0,21.259,-95.929,4.241,1647.7,5.419344979,-2256.0
405115200.0,21.271,-95.937,4.242,1646.5,4.184925328,-2171.0
405144000.0,21.281,-95.94,4.241,1646.0,5.994163828,-2111.0
405172800.0,21.3,-95.951,4.241,1647.0,8.593253167,-2041.0
405201600.0,21.319,-95.954,4.243,1645.7,7.00285656,-2089.0
405230400.0,21.336,-95.953,4.242,1645.4,5.843372314,-2180.0
405259200.0,21.348,-95.95,4.244,1646.6,7.482272382,-2232.0
405288000.0,21.366,-95.972,4.241,1646.0,8.97677559,-2261.0
405316800.0,21.39,-95.958,4.241,1646.2,10.21875237,-2400.0
405345600.0,21.403,-95.952,4.25,1645.7,2.41364869,-2372.0
405374400.0,21.409,-95.963,4.247,1645.5,8.317144943,-2409.0
405403200.0,21.433,-95.977,4.246,1646.4,10.31175058,-2183.0
405432000.0,21.451,-95.964,4.246,1646.7,5.984989557,-2122.0
405460800.0,21.45,-95.958,4.252,1646.1,2.146625258,-2158.0
405489600.0,21.461,-95.969,4.249,1646.0,6.340804365,-2141.0
405518400.0,21.472,-95.97,4.245,1648.2,2.51001992,-2177.0
405547200.0,21.472,-95.962,4.255,1645.0,3.165896398,-2189.0
405576000.0,21.476,-95.954,4.25,1644.9,2.929590415,-2217.0
