Date (yyyy-MMM-dd hh:mm),Latitude (N),Longitude (W),Temperature (C),Pressure (dbar),Speed (cm/s),Bottom Depth (m),Depth (m)
9/26/2012 8:00,25.886,-89.768,4.337,1630.0,10.34114597,-3223,-1621.04
9/26/2012 16:00,25.923,-89.758,4.336,1628.8,12.90482855,-3212,-1619.85
9/27/2012 0:00,25.949,-89.74,4.327,1631.8,16.34865438,-3204,-1622.83
9/27/2012 8:00,26.008,-89.735,4.331,1630.8,23.91219982,-3183,-1621.84
9/27/2012 16:00,26.064,-89.73,4.322,1629.9,21.80443991,-3162,-1620.94
9/28/2012 0:00,26.125,-89.736,4.31,1633.0,23.80655582,-3141,-1624.03
9/28/2012 8:00,26.179,-89.756,4.301,1632.9,19.8077813,-3119,-1623.93
9/28/2012 16:00,26.216,-89.783,4.31,1633.1,15.1211276,-3102,-1624.13
9/29/2012 0:00,26.243,-89.81,4.309,1634.1,13.65503936,-3096,-1625.12
9/29/2012 8:00,26.27,-89.838,4.322,1636.7,14.30931515,-3102,-1627.71
9/29/2012 16:00,26.29,-89.862,4.314,1636.8,6.38846617,-3106,-1627.81
9/30/2012 0:00,26.288,-89.875,4.321,1639.1,6.057061994,-3113,-1630.09
9/30/2012 8:00,26.298,-89.876,4.321,1638.2,12.92540522,-3111,-1629.2
9/30/2012 16:00,26.264,-89.844,4.321,1638.8,7.571373719,-3103,-1629.8
10/1/2012 0:00,26.336,-89.857,4.323,1639.5,26.88793224,-3082,-1630.49
10/1/2012 8:00,26.375,-89.848,4.32,1638.7,14.81073259,-3056,-1629.7
10/1/2012 16:00,26.425,-89.851,4.313,1639.7,17.71429366,-3021,-1630.69
10/2/2012 0:00,26.452,-89.858,4.316,1638.7,5.585785531,-3002,-1629.7
10/2/2012 8:00,26.466,-89.87,4.31,1638.6,12.87654068,-2990,-1629.6
10/2/2012 16:00,26.497,-89.899,4.31,1639.2,11.00409015,-2963,-1630.19
10/3/2012 0:00,26.503,-89.921,4.312,1637.6,10.83927119,-2949,-1628.6
10/3/2012 8:00,26.523,-89.95,4.314,1639.6,8.180770135,-2918,-1630.59
10/3/2012 16:00,26.491,-89.964,4.318,1639.1,16.14504258,-2958,-1630.09
10/4/2012 0:00,26.463,-89.974,4.319,1639.3,6.906381107,-2972,-1630.29
10/4/2012 8:00,26.457,-89.98,4.317,1639.6,0.832586332,-2973,-1630.59
10/4/2012 16:00,26.452,-89.969,4.316,1641.0,10.08458725,-2994,-1631.98
10/5/2012 0:00,26.416,-89.949,4.312,1639.1,17.7443653,-3031,-1630.09
10/5/2012 8:00,26.395,-89.919,4.319,1641.9,9.615388708,-3051,-1632.88
10/5/2012 16:00,26.413,-89.894,4.313,1639.6,11.36347218,-3033,-1630.59
10/6/2012 0:00,26.407,-89.856,4.313,1642.3,12.1207013,-3033,-1633.28
10/6/2012 8:00,26.438,-89.833,4.311,1638.7,10.35003382,-3005,-1629.7
10/6/2012 16:00,26.43,-89.807,4.306,1639.0,3.975550276,-3002,-1629.99
10/7/2012 0:00,26.456,-89.807,4.302,1639.8,13.73730687,-2976,-1630.79
10/7/2012 8:00,26.478,-89.791,4.302,1639.8,4.143669871,-2942,-1630.79
10/7/2012 16:00,26.464,-89.789,4.3,1640.1,6.643011365,-2955,-1631.09
10/8/2012 0:00,26.452,-89.784,4.305,1639.8,4.124875756,-2976,-1630.79
10/8/2012 8:00,26.441,-89.777,4.303,1639.8,7.101443515,-2988,-1630.79
10/8/2012 16:00,26.424,-89.774,4.31,1638.8,1.760284068,-3000,-1629.8
10/9/2012 0:00,26.415,-89.769,4.308,1640.8,16.73275231,-3004,-1631.78
10/9/2012 8:00,26.359,-89.743,4.311,1641.0,13.93244415,-3033,-1631.98
10/9/2012 16:00,26.364,-89.717,4.31,1639.5,11.99795399,-3023,-1630.49
10/10/2012 0:00,26.337,-89.674,4.306,1641.9,17.14934401,-3031,-1632.88
10/10/2012 8:00,26.328,-89.634,4.306,1638.6,17.53985747,-3032,-1629.6
10/10/2012 16:00,26.316,-89.574,4.307,1641.0,20.6746052,-3027,-1631.98
10/11/2012 0:00,26.32,-89.522,4.311,1640.8,17.69597129,-3017,-1631.78
10/11/2012 8:00,26.336,-89.471,4.303,1640.6,19.06203032,-2998,-1631.59
10/11/2012 16:00,26.354,-89.42,4.307,1639.7,19.60932686,-3000,-1630.69
10/12/2012 0:00,26.404,-89.385,4.294,1641.4,26.26,-3018,-1632.38
10/12/2012 8:00,26.464,-89.356,4.295,1642.0,21.62976884,-2913,-1632.98
10/12/2012 16:00,26.51,-89.326,4.288,1637.9,24.14978675,-2886,-1628.9
10/13/2012 0:00,26.587,-89.315,4.285,1639.0,31.30027476,-2810,-1629.99
10/13/2012 8:00,26.647,-89.302,4.28,1638.4,13.65542017,-2779,-1629.4
10/13/2012 16:00,26.672,-89.286,4.276,1637.8,18.96026371,-2757,-1628.8
10/14/2012 0:00,26.739,-89.294,4.27,1637.6,18.56442296,-2715,-1628.6
10/14/2012 8:00,26.76,-89.28,4.273,1637.4,10.12697882,-2697,-1628.4
10/14/2012 16:00,26.806,-89.288,4.267,1637.8,20.0844741,-2682,-1628.8
10/15/2012 0:00,26.84,-89.294,4.264,1637.9,4.858477128,-2667,-1628.9
10/15/2012 8:00,26.845,-89.288,4.263,1637.2,7.975387138,-2662,-1628.2
10/15/2012 16:00,26.875,-89.308,4.263,1635.5,8.011597843,-2644,-1626.51
10/16/2012 0:00,26.878,-89.313,4.259,1636.7,8.324337812,-2643,-1627.71
10/16/2012 8:00,26.918,-89.323,4.26,1637.2,12.23161886,-2613,-1628.2
10/16/2012 16:00,26.925,-89.341,4.258,1636.4,5.736906832,-2616,-1627.41
10/17/2012 0:00,26.934,-89.351,4.255,1636.1,2.881752939,-2598,-1627.11
10/17/2012 8:00,26.933,-89.356,4.255,1634.8,2.027140844,-2600,-1625.82
10/17/2012 16:00,26.94,-89.366,4.254,1636.2,7.313617436,-2596,-1627.21
10/18/2012 0:00,26.953,-89.377,4.254,1635.8,1.939922679,-2587,-1626.81
10/18/2012 8:00,26.94,-89.375,4.256,1636.5,8.909416367,-2598,-1627.51
10/18/2012 16:00,26.92,-89.378,4.259,1635.8,5.212772775,-2618,-1626.81
10/19/2012 0:00,26.917,-89.389,4.252,1636.3,3.145313975,-2619,-1627.31
10/19/2012 8:00,26.904,-89.385,4.257,1636.3,4.364962772,-2636,-1627.31
10/19/2012 16:00,26.905,-89.387,4.258,1636.9,6.181690707,-2632,-1627.91
10/20/2012 0:00,26.905,-89.402,4.257,1637.2,10.68221419,-2637,-1628.2
10/20/2012 8:00,26.856,-89.392,4.262,1636.4,18.87369863,-2675,-1627.41
